DATE,HSN1FW
2000-01-01,246.0833333333333333
2001-01-01,239.3333333333333333
2002-01-01,272.5833333333333333
2003-01-01,308.4166666666666667
2004-01-01,346.6666666666666667
2005-01-01,356.1666666666666667
2006-01-01,265.5000000000000000
2007-01-01,178.0000000000000000
2008-01-01,112.8333333333333333
2009-01-01,87.0000000000000000
2010-01-01,73.5833333333333333
2011-01-01,71.9166666666666667
2012-01-01,96.5833333333333333
2013-01-01,105.3333333333333333
2014-01-01,109.6666666666666667
2015-01-01,130.5833333333333333
2016-01-01,142.1666666666666667
2017-01-01,163.4166666666666667
2018-01-01,159.1666666666666667
2019-01-01,182.0000000000000000
2020-01-01,220.0833333333333333
2021-01-01,197.0000000000000000
2022-01-01,148.0833333333333333
2023-01-01,153.4166666666666667
